,name,disaster,total_cpi_adjusted_cost_by_millions,deaths,begin_year,begin_month,begin_day,end_year,end_month,end_day,begin_date,end_date
0,Southern Severe Storms and Flooding ,Flooding,2551,7,1980,04,10,1980,04,17,1980-04-10,1980-04-17
1,Hurricane Allen ,Tropical Cyclone,2071,13,1980,08,07,1980,08,11,1980-08-07,1980-08-11
2,Central/Eastern Drought/Heat Wave ,Drought,37675,1260,1980,06,01,1980,11,30,1980-06-01,1980-11-30
3,Florida Freeze ,Freeze,1922,0,1981,01,12,1981,01,14,1981-01-12,1981-01-14
4,"Severe Storms, Flash Floods, Hail, Tornadoes ",Severe Storm,1305,20,1981,05,05,1981,05,10,1981-05-05,1981-05-10
5,"Midwest/Southeast/Northeast Winter Storm, Cold Wave ",Winter Storm,2052,85,1982,01,08,1982,01,16,1982-01-08,1982-01-16
6,Midwest/Plains/Southeast Tornadoes ,Severe Storm,1488,33,1982,04,02,1982,04,04,1982-04-02,1982-04-04
7,Severe Storms ,Severe Storm,1464,30,1982,05,31,1982,06,10,1982-05-31,1982-06-10
8,Gulf States Storms and Flooding ,Flooding,4578,45,1982,12,01,1983,01,15,1982-12-01,1983-01-15
9,Western Storms and Flooding ,Flooding,4469,50,1982,12,13,1983,03,31,1982-12-13,1983-03-31
10,Hurricane Alicia ,Tropical Cyclone,8760,21,1983,08,17,1983,08,20,1983-08-17,1983-08-20
11,Southeast Drought ,Drought,8863,0,1983,06,01,1983,08,31,1983-06-01,1983-08-31
12,Freeze / Cold Wave ,Freeze,5998,151,1983,12,15,1983,12,25,1983-12-15,1983-12-25
13,"Tornadoes, Severe Storms, Floods ",Severe Storm,1719,80,1984,03,27,1984,04,07,1984-03-27,1984-04-07
14,Severe Storms and Hail ,Severe Storm,1258,1,1984,06,13,1984,06,17,1984-06-13,1984-06-17
15,"Winter Storm, Cold Wave ",Winter Storm,2319,150,1985,01,19,1985,01,22,1985-01-19,1985-01-22
16,Florida Freeze ,Freeze,3324,0,1985,01,20,1985,01,22,1985-01-20,1985-01-22
17,Ohio and Pennsylvania Tornado Outbreak ,Severe Storm,1632,89,1985,05,31,1985,05,31,1985-05-31,1985-05-31
18,Hurricane Elena ,Tropical Cyclone,3516,4,1985,08,30,1985,09,03,1985-08-30,1985-09-03
19,Hurricane Gloria ,Tropical Cyclone,2312,11,1985,09,26,1985,09,28,1985-09-26,1985-09-28
20,Hurricane Juan ,Tropical Cyclone,4026,63,1985,10,27,1985,10,31,1985-10-27,1985-10-31
21,"Virginia, West Virginia, Pennsylvania and Maryland Flooding ",Flooding,3752,62,1985,11,03,1985,11,08,1985-11-03,1985-11-08
22,Western Severe Storms and Flooding ,Severe Storm,1415,13,1986,02,14,1986,02,16,1986-02-14,1986-02-16
23,Southeast Drought/Heat Wave ,Drought,4816,100,1986,06,01,1986,08,31,1986-06-01,1986-08-31
24,U.S. Drought/Heat Wave ,Drought,50610,454,1988,06,01,1988,08,31,1988-06-01,1988-08-31
25,Southern Derecho and Severe Storms ,Severe Storm,1302,21,1989,05,01,1989,05,06,1989-05-01,1989-05-06
26,Tropical Storm Allison ,Tropical Cyclone,1381,11,1989,06,26,1989,06,28,1989-06-26,1989-06-28
27,Hurricane Hugo ,Tropical Cyclone,21060,86,1989,09,21,1989,09,22,1989-09-21,1989-09-22
28,Northern Plains Drought ,Drought,7238,0,1989,06,01,1989,11,30,1989-06-01,1989-11-30
29,Florida Freeze ,Freeze,4820,10,1989,12,23,1989,12,25,1989-12-23,1989-12-25
30,"Winter Storm, Cold Wave ",Winter Storm,1578,100,1989,12,21,1989,12,26,1989-12-21,1989-12-26
31,Southern Flooding ,Flooding,2276,13,1990,05,11,1990,05,19,1990-05-11,1990-05-19
32,Colorado Hail Storm ,Severe Storm,1837,0,1990,07,11,1990,07,11,1990-07-11,1990-07-11
33,Western Fire Season ,Wildfire,1587,17,1990,06,01,1990,08,31,1990-06-01,1990-08-31
34,California Freeze ,Freeze,7786,0,1990,12,18,1990,12,25,1990-12-18,1990-12-25
35,"Severe Storms, Tornadoes ",Severe Storm,1400,0,1991,03,26,1991,03,29,1991-03-26,1991-03-29
36,Hurricane Bob ,Tropical Cyclone,3216,18,1991,08,18,1991,08,20,1991-08-18,1991-08-20
37,U.S. Drought ,Drought,6528,0,1991,03,01,1991,08,31,1991-03-01,1991-08-31
38,Oakland Firestorm ,Wildfire,7029,25,1991,10,01,1991,10,31,1991-10-01,1991-10-31
39,Severe Storms ,Severe Storm,1689,0,1992,03,24,1992,03,25,1992-03-24,1992-03-25
40,"Hail, Tornadoes ",Severe Storm,2004,0,1992,04,28,1992,04,29,1992-04-28,1992-04-29
41,"Severe Storms, Hail ",Severe Storm,1556,0,1992,06,19,1992,06,20,1992-06-19,1992-06-20
42,Hurricane Andrew ,Tropical Cyclone,55890,61,1992,08,23,1992,08,27,1992-08-23,1992-08-27
43,Hurricane Iniki ,Tropical Cyclone,6417,7,1992,09,11,1992,09,12,1992-09-11,1992-09-12
44,Southeast Severe Weather ,Severe Storm,1353,26,1992,11,21,1992,11,23,1992-11-21,1992-11-23
45,Northeast Winter Storm ,Winter Storm,5115,19,1992,12,10,1992,12,13,1992-12-10,1992-12-13
46,East Coast Blizzard and Severe Weather ,Winter Storm,11275,270,1993,03,11,1993,03,14,1993-03-11,1993-03-14
47,Northern Plains and Ohio Valley Severe Weather ,Severe Storm,1301,1,1993,07,08,1993,07,10,1993-07-08,1993-07-10
48,Midwest Flooding ,Flooding,42970,48,1993,06,27,1993,08,15,1993-06-27,1993-08-15
49,Southeast Drought and Heat Wave ,Drought,2579,16,1993,06,01,1993,08,31,1993-06-01,1993-08-31
50,California Wildfires ,Wildfire,2757,4,1993,09,01,1993,11,30,1993-09-01,1993-11-30
51,"Winter Storm, Cold Wave ",Winter Storm,2080,70,1994,01,17,1994,01,20,1994-01-17,1994-01-20
52,Southeast Ice Storm ,Winter Storm,5965,9,1994,02,08,1994,02,13,1994-02-08,1994-02-13
53,Midwest/Plains Tornadoes ,Severe Storm,1950,3,1994,04,25,1994,04,27,1994-04-25,1994-04-27
54,Tropical Storm Alberto ,Tropical Cyclone,1967,32,1994,07,07,1994,07,10,1994-07-07,1994-07-10
55,Texas Flooding ,Flooding,1960,19,1994,10,16,1994,10,25,1994-10-16,1994-10-25
56,Western Fire Season ,Wildfire,1428,0,1994,06,01,1994,11,30,1994-06-01,1994-11-30
57,California Flooding ,Flooding,4850,27,1995,01,01,1995,03,31,1995-01-01,1995-03-31
58,Texas Hail Storm ,Severe Storm,1104,0,1995,04,28,1995,04,28,1995-04-28,1995-04-28
59,South Plains Severe Weather ,Severe Storm,10534,32,1995,05,05,1995,05,07,1995-05-05,1995-05-07
60,Hurricane Erin ,Tropical Cyclone,1624,6,1995,08,01,1995,08,07,1995-08-01,1995-08-07
61,Hurricane Marilyn ,Tropical Cyclone,4011,13,1995,09,15,1995,09,17,1995-09-15,1995-09-17
62,"Central, Southern and Northeast Drought/Heat Wave ",Drought,1880,872,1995,07,01,1995,09,30,1995-07-01,1995-09-30
63,Hurricane Opal ,Tropical Cyclone,8909,27,1995,10,04,1995,10,06,1995-10-04,1995-10-06
64,Blizzard/Floods ,Winter Storm,5676,187,1996,01,01,1996,01,31,1996-01-01,1996-01-31
65,Pacific Northwest Severe Flooding ,Flooding,1906,9,1996,02,07,1996,02,12,1996-02-07,1996-02-12
66,Southern Plains Drought ,Drought,3386,0,1996,03,01,1996,08,31,1996-03-01,1996-08-31
67,Hurricane Fran ,Tropical Cyclone,9263,37,1996,09,05,1996,09,08,1996-09-05,1996-09-08
68,West Coast Flooding ,Flooding,5551,36,1997,01,01,1997,01,11,1997-01-01,1997-01-11
69,Mississippi and Ohio Valley Severe Weather and Flooding ,Severe Storm,1789,67,1997,02,28,1997,03,05,1997-02-28,1997-03-05
70,Northern Plains Flooding ,Flooding,6728,11,1997,02,03,1997,05,24,1997-02-03,1997-05-24
71,Northeast Ice Storm ,Winter Storm,2537,16,1998,01,05,1998,01,09,1998-01-05,1998-01-09
72,Western/Eastern Severe Weather and Flooding ,Severe Storm,1818,132,1997,12,01,1998,02,28,1997-12-01,1998-02-28
73,Minnesota Severe Storms/Hail ,Severe Storm,2936,1,1998,05,15,1998,05,15,1998-05-15,1998-05-15
74,"Northern Plains and Great Lakes Derecho, Tornadoes ",Severe Storm,2050,20,1998,05,30,1998,06,02,1998-05-30,1998-06-02
75,Tropical Storm Frances ,Tropical Cyclone,1253,2,1998,08,08,1998,08,13,1998-08-08,1998-08-13
76,Hurricane Bonnie ,Tropical Cyclone,1754,3,1998,08,27,1998,08,29,1998-08-27,1998-08-29
77,Southern Drought and Heat Wave ,Drought,6386,200,1998,06,01,1998,08,31,1998-06-01,1998-08-31
78,Hurricane Georges ,Tropical Cyclone,10712,16,1998,09,20,1998,09,29,1998-09-20,1998-09-29
79,Texas Flooding ,Flooding,1677,31,1998,10,16,1998,10,24,1998-10-16,1998-10-24
80,California Freeze ,Freeze,4525,0,1998,12,20,1998,12,28,1998-12-20,1998-12-28
81,Central and Eastern Winter Storm ,Winter Storm,1838,25,1999,01,01,1999,01,04,1999-01-01,1999-01-04
82,Central and Eastern Winter Storm ,Winter Storm,1570,0,1999,01,13,1999,01,16,1999-01-13,1999-01-16
83,Oklahoma and Kansas Tornadoes ,Severe Storm,3541,55,1999,05,03,1999,05,06,1999-05-03,1999-05-06
84,Eastern Drought/Heat Wave ,Drought,4448,502,1999,06,01,1999,08,31,1999-06-01,1999-08-31
85,Hurricane Floyd ,Tropical Cyclone,11294,77,1999,09,14,1999,09,16,1999-09-14,1999-09-16
86,Southeast Winter Storm ,Winter Storm,1222,4,2000,01,21,2000,01,24,2000-01-21,2000-01-24
87,Southern Severe Weather ,Severe Storm,1180,0,2000,03,28,2000,03,29,2000-03-28,2000-03-29
88,Western Fire Season ,Wildfire,1838,0,2000,03,01,2000,08,31,2000-03-01,2000-08-31
89,South Florida Flooding ,Flooding,1512,3,2000,10,03,2000,10,04,2000-10-03,2000-10-04
90,Western/Central/Southeast Drought/Heat Wave ,Drought,8645,140,2000,03,01,2000,11,30,2000-03-01,2000-11-30
91,Midwest/Ohio Valley Hail and Tornadoes ,Severe Storm,5106,3,2001,04,06,2001,04,11,2001-04-06,2001-04-11
92,North Central Severe Weather ,Severe Storm,1107,0,2001,04,30,2001,05,01,2001-04-30,2001-05-01
93,Tropical Storm Allison ,Tropical Cyclone,13976,43,2001,06,05,2001,06,17,2001-06-05,2001-06-17
94,Severe Storms and Tornadoes ,Severe Storm,3413,7,2002,04,27,2002,04,28,2002-04-27,2002-04-28
95,Hurricane Lili ,Tropical Cyclone,1789,2,2002,08,01,2002,08,05,2002-08-01,2002-08-05
96,Tropical Storm Isidore ,Tropical Cyclone,1852,5,2002,09,25,2002,09,27,2002-09-25,2002-09-27
97,Eastern Tornadoes and Severe Storms ,Severe Storm,1159,28,2002,11,09,2002,11,11,2002-11-09,2002-11-11
98,U.S. Drought ,Drought,14861,0,2002,03,01,2002,11,30,2002-03-01,2002-11-30
99,Western Fire Season ,Wildfire,2130,21,2002,09,01,2002,11,30,2002-09-01,2002-11-30
100,Severe Storms/Hail ,Severe Storm,3190,3,2003,04,04,2003,04,07,2003-04-04,2003-04-07
101,Severe Storms/Tornadoes ,Severe Storm,6564,51,2003,05,03,2003,05,10,2003-05-03,2003-05-10
102,Midwest/Plains Severe Weather ,Severe Storm,1364,7,2003,07,04,2003,07,09,2003-07-04,2003-07-09
103,Southern Derecho and Eastern Severe Weather ,Severe Storm,1603,7,2003,07,21,2003,07,23,2003-07-21,2003-07-23
104,Hurricane Isabel ,Tropical Cyclone,8665,55,2003,09,18,2003,09,19,2003-09-18,2003-09-19
105,Western/Central Drought/Heat Wave ,Drought,8079,35,2003,03,01,2003,11,30,2003-03-01,2003-11-30
106,California Wildfires ,Wildfire,6147,22,2003,09,01,2003,11,30,2003-09-01,2003-11-30
107,"Severe Storms, Hail, Tornadoes ",Severe Storm,1572,4,2004,05,21,2004,05,27,2004-05-21,2004-05-27
108,Colorado Hail Storms ,Severe Storm,1070,0,2004,06,08,2004,06,09,2004-06-08,2004-06-09
109,Hurricane Charley ,Tropical Cyclone,24639,35,2004,08,13,2004,08,14,2004-08-13,2004-08-14
110,Hurricane Frances ,Tropical Cyclone,15092,48,2004,09,03,2004,09,09,2004-09-03,2004-09-09
111,Hurricane Ivan ,Tropical Cyclone,31571,57,2004,09,12,2004,09,21,2004-09-12,2004-09-21
112,Hurricane Jeanne ,Tropical Cyclone,11545,28,2004,09,15,2004,09,29,2004-09-15,2004-09-29
113,Southeast Severe Weather ,Severe Storm,1306,0,2005,03,24,2005,03,27,2005-03-24,2005-03-27
114,Hurricane Dennis ,Tropical Cyclone,3742,15,2005,07,09,2005,07,11,2005-07-09,2005-07-11
115,Hurricane Katrina ,Tropical Cyclone,186294,1833,2005,08,25,2005,08,30,2005-08-25,2005-08-30
116,Midwest Drought ,Drought,2256,0,2005,03,01,2005,08,31,2005-03-01,2005-08-31
117,Hurricane Rita ,Tropical Cyclone,27195,119,2005,09,20,2005,09,24,2005-09-20,2005-09-24
118,Hurricane Wilma ,Tropical Cyclone,27930,35,2005,10,24,2005,10,24,2005-10-24,2005-10-24
119,Severe Storms and Tornadoes ,Severe Storm,1953,10,2006,03,08,2006,03,13,2006-03-08,2006-03-13
120,Midwest/Southeast Tornadoes ,Severe Storm,2326,10,2006,04,06,2006,04,08,2006-04-06,2006-04-08
121,Midwest Tornadoes ,Severe Storm,3514,27,2006,04,13,2006,04,16,2006-04-13,2006-04-16
122,Northeast Flooding ,Flooding,2191,20,2006,06,25,2006,06,28,2006-06-25,2006-06-28
123,North Central Severe Weather and Tornadoes ,Severe Storm,1086,1,2006,08,23,2006,08,24,2006-08-23,2006-08-24
124,Midwest/Plains/Southeast Drought ,Drought,8817,0,2006,03,01,2006,08,31,2006-03-01,2006-08-31
125,Central Severe Weather ,Severe Storm,1275,1,2006,10,02,2006,10,05,2006-10-02,2006-10-05
126,Numerous Wildfires ,Wildfire,2157,28,2006,01,01,2006,12,31,2006-01-01,2006-12-31
127,California Freeze ,Freeze,2016,1,2007,01,11,2007,01,17,2007-01-11,2007-01-17
128,Spring Freeze ,Freeze,2944,0,2007,04,04,2007,04,10,2007-04-04,2007-04-10
129,East/South Severe Weather and Flooding ,Severe Storm,3536,9,2007,04,13,2007,04,17,2007-04-13,2007-04-17
130,Western Wildfires ,Wildfire,3838,12,2007,06,01,2007,08,31,2007-06-01,2007-08-31
131,Western/Eastern Drought/Heat Wave ,Drought,5095,15,2007,06,01,2007,11,30,2007-06-01,2007-11-30
132,"Western, Central and Northeast Severe Weather ",Severe Storm,1355,12,2008,01,04,2008,01,09,2008-01-04,2008-01-09
133,Southeast Tornadoes and Severe Weather ,Severe Storm,1672,57,2008,02,05,2008,02,06,2008-02-05,2008-02-06
134,Southeast Tornadoes ,Severe Storm,1550,5,2008,03,14,2008,03,15,2008-03-14,2008-03-15
135,Southern Severe Weather ,Severe Storm,1414,2,2008,04,09,2008,04,11,2008-04-09,2008-04-11
136,Midwest Tornadoes and Severe Weather ,Severe Storm,4090,13,2008,05,22,2008,05,27,2008-05-22,2008-05-27
137,Midwest/Mid-Atlantic Severe Weather ,Severe Storm,2192,18,2008,06,06,2008,06,12,2008-06-06,2008-06-12
138,Midwest Flooding ,Flooding,13743,24,2008,04,01,2008,06,30,2008-04-01,2008-06-30
139,Hurricane Dolly ,Tropical Cyclone,1686,3,2008,07,23,2008,07,25,2008-07-23,2008-07-25
140,Hurricane Gustav ,Tropical Cyclone,7976,53,2008,08,31,2008,09,03,2008-08-31,2008-09-03
141,Hurricane Ike ,Tropical Cyclone,40198,112,2008,09,12,2008,09,14,2008-09-12,2008-09-14
142,U.S. Wildfires ,Wildfire,1654,16,2008,09,01,2008,11,30,2008-09-01,2008-11-30
143,U.S. Drought ,Drought,9674,0,2008,01,01,2008,12,31,2008-01-01,2008-12-31
144,Southeast/Ohio Valley Severe Weather ,Severe Storm,2401,10,2009,02,10,2009,02,11,2009-02-10,2009-02-11
145,Midwest/Southeast Tornadoes ,Severe Storm,2248,0,2009,03,25,2009,03,28,2009-03-25,2009-03-28
146,South/Southeast Severe Weather and Tornadoes ,Severe Storm,1959,6,2009,04,09,2009,04,10,2009-04-09,2009-04-10
147,Central Derecho and Tornadoes ,Severe Storm,1180,7,2009,05,07,2009,05,09,2009-05-07,2009-05-09
148,"Midwest, South and East Severe Weather ",Severe Storm,1806,0,2009,06,09,2009,06,12,2009-06-09,2009-06-12
149,Colorado Hail Storm ,Severe Storm,1360,0,2009,07,20,2009,07,20,2009-07-20,2009-07-20
150,Georgia Flooding ,Flooding,1213,10,2009,09,19,2009,09,22,2009-09-19,2009-09-22
151,Western Wildfires ,Wildfire,1376,10,2009,06,01,2009,11,30,2009-06-01,2009-11-30
152,Southwest/Great Plains Drought ,Drought,4819,0,2009,01,01,2009,12,31,2009-01-01,2009-12-31
153,Northeast Winter Storm ,Winter Storm,1103,3,2010,02,09,2010,02,11,2010-02-09,2010-02-11
154,Northeast Flooding ,Flooding,2490,11,2010,03,01,2010,03,31,2010-03-01,2010-03-31
155,East/South Flooding and Severe Weather ,Flooding,3060,32,2010,04,30,2010,05,02,2010-04-30,2010-05-02
156,"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather ",Severe Storm,4467,3,2010,05,10,2010,05,12,2010-05-10,2010-05-12
157,Rockies/Central/East Severe Weather ,Severe Storm,1207,2,2010,06,10,2010,06,15,2010-06-10,2010-06-15
158,Midwest/Northeast Severe Storms and Flooding ,Severe Storm,1271,0,2010,07,20,2010,07,23,2010-07-20,2010-07-23
159,Arizona Severe Weather ,Severe Storm,5092,0,2010,10,05,2010,10,06,2010-10-05,2010-10-06
160,Groundhog Day Blizzard ,Winter Storm,2386,36,2011,02,01,2011,02,03,2011-02-01,2011-02-03
161,Midwest/Southeast Tornadoes and Derecho ,Severe Storm,3608,9,2011,04,04,2011,04,05,2011-04-04,2011-04-05
162,Southeast/Midwest Tornadoes ,Severe Storm,2833,0,2011,04,08,2011,04,11,2011-04-08,2011-04-11
163,Midwest/Southeast Tornadoes ,Severe Storm,2677,38,2011,04,14,2011,04,16,2011-04-14,2011-04-16
164,Ohio Valley Derecho and Southern Tornadoes ,Severe Storm,1349,0,2011,04,19,2011,04,20,2011-04-19,2011-04-20
165,Southeast/Ohio Valley/Midwest Tornadoes ,Severe Storm,13288,321,2011,04,25,2011,04,28,2011-04-25,2011-04-28
166,Midwest/Southeast Tornadoes ,Severe Storm,11735,177,2011,05,22,2011,05,27,2011-05-22,2011-05-27
167,Mississippi River flooding ,Flooding,3972,7,2011,04,01,2011,05,31,2011-04-01,2011-05-31
168,Midwest/Southeast Tornadoes and Severe Weather ,Severe Storm,1983,3,2011,06,18,2011,06,22,2011-06-18,2011-06-22
169,Missouri River flooding ,Flooding,2663,5,2011,05,01,2011,06,30,2011-05-01,2011-06-30
170,North Central Severe Weather ,Severe Storm,1146,0,2011,07,01,2011,07,01,2011-07-01,2011-07-01
