,name,disaster,total_cpi_adjusted_cost_by_millions,deaths,begin_year,begin_month,begin_day,end_year,end_month,end_day,begin_date,end_date
171,Rockies and Midwest Derecho ,Severe Storm,1593,2,2011,07,10,2011,07,11,2011-07-10,2011-07-11
172,Midwest/Southeast Severe Weather ,Severe Storm,1485,0,2011,08,17,2011,08,18,2011-08-17,2011-08-18
173,Hurricane Irene ,Tropical Cyclone,17407,45,2011,08,26,2011,08,28,2011-08-26,2011-08-28
174,Southern Plains/Southwest Drought and Heat Wave ,Drought,15913,95,2011,03,01,2011,08,31,2011-03-01,2011-08-31
175,Tropical Storm Lee ,Tropical Cyclone,3241,21,2011,09,01,2011,09,05,2011-09-01,2011-09-05
176,Northeastern Winter Storm ,Winter Storm,1193,1,2011,10,29,2011,10,30,2011-10-29,2011-10-30
177,"Texas, New Mexico, Arizona Wildfires ",Wildfire,2349,5,2011,06,01,2011,11,30,2011-06-01,2011-11-30
178,Southeast/Ohio Valley Tornadoes ,Severe Storm,3974,42,2012,03,02,2012,03,03,2012-03-02,2012-03-03
179,Texas Tornadoes ,Severe Storm,1289,0,2012,04,02,2012,04,03,2012-04-02,2012-04-03
180,Midwest Tornadoes ,Severe Storm,1427,6,2012,04,13,2012,04,14,2012-04-13,2012-04-14
181,Midwest/Ohio Valley Severe Weather ,Severe Storm,4161,1,2012,04,28,2012,05,01,2012-04-28,2012-05-01
182,Southern Plains/Midwest/Northeast Severe Weather ,Severe Storm,2926,1,2012,05,25,2012,05,30,2012-05-25,2012-05-30
183,Rockies/Southwest Severe Weather ,Severe Storm,3299,0,2012,06,06,2012,06,12,2012-06-06,2012-06-12
184,Plains/East/Northeast Derecho ,Severe Storm,3668,28,2012,06,29,2012,07,02,2012-06-29,2012-07-02
185,Hurricane Isaac ,Tropical Cyclone,3510,9,2012,08,26,2012,08,31,2012-08-26,2012-08-31
186,Hurricane Sandy ,Tropical Cyclone,81950,159,2012,10,30,2012,10,31,2012-10-30,2012-10-31
187,Western Wildfires ,Wildfire,2208,8,2012,06,01,2012,11,30,2012-06-01,2012-11-30
188,U.S. Drought/Heat Wave ,Drought,38704,123,2012,01,01,2012,12,31,2012-01-01,2012-12-31
189,Southern Severe Weather ,Severe Storm,1162,1,2013,02,24,2013,02,25,2013-02-24,2013-02-25
190,Southeast Severe Weather ,Severe Storm,2545,1,2013,03,18,2013,03,18,2013-03-18,2013-03-18
191,Midwest/Plains Severe Weather ,Severe Storm,1819,1,2013,04,07,2013,04,11,2013-04-07,2013-04-11
192,Illinois Flooding and Severe Weather ,Flooding,1357,4,2013,04,16,2013,04,19,2013-04-16,2013-04-19
193,Midwest/Plains/East Tornadoes ,Severe Storm,3000,27,2013,05,18,2013,05,22,2013-05-18,2013-05-22
194,Midwest/Plains/Northeast Tornadoes ,Severe Storm,2267,10,2013,05,27,2013,05,31,2013-05-27,2013-05-31
195,Midwest Severe Weather ,Severe Storm,1302,0,2013,08,06,2013,08,07,2013-08-06,2013-08-07
196,Colorado Flooding ,Flooding,1886,9,2013,09,10,2013,09,16,2013-09-10,2013-09-16
197,Ohio Valley Tornadoes ,Severe Storm,1363,8,2013,11,17,2013,11,17,2013-11-17,2013-11-17
198,Western/Plains Drought/Heat Wave ,Drought,13241,53,2013,03,01,2013,11,30,2013-03-01,2013-11-30
199,Midwest/Southeast/Northeast Winter Storm ,Winter Storm,2716,16,2014,01,05,2014,01,08,2014-01-05,2014-01-08
200,Plains Severe Weather ,Severe Storm,1766,0,2014,04,02,2014,04,03,2014-04-02,2014-04-03
201,Central Severe Weather ,Severe Storm,1129,0,2014,04,12,2014,04,13,2014-04-12,2014-04-13
202,Midwest/Southeast/Northeast Tornadoes and Flooding ,Severe Storm,2136,33,2014,04,27,2014,05,01,2014-04-27,2014-05-01
203,Rockies/Midwest/Eastern Severe Weather ,Severe Storm,4567,0,2014,05,18,2014,05,23,2014-05-18,2014-05-23
204,Rockies/Central Plains Severe Weather ,Severe Storm,2361,2,2014,06,03,2014,06,05,2014-06-03,2014-06-05
205,Michigan and Northeast Flooding ,Flooding,1269,2,2014,08,11,2014,08,13,2014-08-11,2014-08-13
206,Rockies/Plains Severe Weather ,Severe Storm,1722,0,2014,09,29,2014,10,02,2014-09-29,2014-10-02
207,Western Drought ,Drought,4940,0,2014,01,01,2014,12,31,2014-01-01,2014-12-31
208,"Central and Eastern Winter storm, Cold Wave ",Winter Storm,3703,30,2015,02,14,2015,02,20,2015-02-14,2015-02-20
209,Midwest/Ohio Valley Severe Weather ,Severe Storm,1929,2,2015,04,07,2015,04,09,2015-04-07,2015-04-09
210,South/Southeast Severe Weather ,Severe Storm,1592,0,2015,04,18,2015,04,20,2015-04-18,2015-04-20
211,South and Southeast Severe Weather ,Severe Storm,1171,3,2015,04,24,2015,04,25,2015-04-24,2015-04-25
212,Southern Plains Tornadoes ,Severe Storm,1565,4,2015,05,06,2015,05,10,2015-05-06,2015-05-10
213,Texas and Oklahoma Flooding and Severe Weather ,Flooding,3126,31,2015,05,23,2015,05,26,2015-05-23,2015-05-26
214,Central and Northeast Severe Weather ,Severe Storm,1430,1,2015,06,21,2015,06,25,2015-06-21,2015-06-25
215,South Carolina and East Coast Flooding ,Flooding,2458,25,2015,10,01,2015,10,05,2015-10-01,2015-10-05
216,Western and Alaskan Wildfires ,Wildfire,3694,12,2015,06,01,2015,11,30,2015-06-01,2015-11-30
217,Texas Tornadoes and Midwest Flooding ,Severe Storm,2433,50,2015,12,26,2015,12,29,2015-12-26,2015-12-29
218,Western Drought ,Drought,5583,0,2015,01,01,2015,12,31,2015-01-01,2015-12-31
219,Southeast and Eastern Tornadoes ,Severe Storm,1279,10,2016,02,22,2016,02,24,2016-02-22,2016-02-24
220,Texas and Louisiana Flooding ,Flooding,2823,5,2016,03,08,2016,03,12,2016-03-08,2016-03-12
221,Southern Severe Weather ,Severe Storm,1489,1,2016,03,17,2016,03,18,2016-03-17,2016-03-18
222,North Texas Hail Storm ,Severe Storm,2540,0,2016,03,23,2016,03,24,2016-03-23,2016-03-24
223,North/Central Texas Hail Storm ,Severe Storm,4268,0,2016,04,10,2016,04,12,2016-04-10,2016-04-12
224,Houston Flooding ,Flooding,3292,8,2016,04,17,2016,04,18,2016-04-17,2016-04-18
225,South/Southeast Tornadoes ,Severe Storm,2921,6,2016,04,26,2016,05,02,2016-04-26,2016-05-02
226,Plains Tornadoes and Central Severe Weather ,Severe Storm,2098,2,2016,05,08,2016,05,11,2016-05-08,2016-05-11
227,Rockies/Central Tornadoes and Severe Weather ,Severe Storm,1398,0,2016,05,21,2016,05,26,2016-05-21,2016-05-26
228,West Virginia Flooding and Ohio Valley Tornadoes ,Flooding,1192,23,2016,06,22,2016,06,24,2016-06-22,2016-06-24
229,Rockies and Northeast Severe Weather ,Severe Storm,1773,0,2016,07,28,2016,07,30,2016-07-28,2016-07-30
230,Louisiana Flooding ,Flooding,12300,13,2016,08,12,2016,08,15,2016-08-12,2016-08-15
231,Hurricane Matthew ,Tropical Cyclone,12100,49,2016,10,08,2016,10,12,2016-10-08,2016-10-12
232,West/Northeast/Southeast Drought ,Drought,4236,0,2016,01,01,2016,12,31,2016-01-01,2016-12-31
233,Western/Southeast Wildfires ,Wildfire,2898,21,2016,06,01,2016,12,31,2016-06-01,2016-12-31
234,Southern Tornado Outbreak and Western Storms ,Severe Storm,1326,24,2017,01,20,2017,01,22,2017-01-20,2017-01-22
235,California Flooding ,Flooding,1800,5,2017,02,08,2017,02,22,2017-02-08,2017-02-22
236,Central/Southeast Tornado Outbreak ,Severe Storm,2167,6,2017,02,28,2017,03,01,2017-02-28,2017-03-01
237,Midwest Tornado Outbreak ,Severe Storm,2611,2,2017,03,06,2017,03,08,2017-03-06,2017-03-08
238,Southeast Freeze ,Freeze,1200,0,2017,03,14,2017,03,16,2017-03-14,2017-03-16
239,South/Southeast Severe Weather ,Severe Storm,3234,0,2017,03,26,2017,03,28,2017-03-26,2017-03-28
240,Southeast Severe Weather and Tornadoes ,Severe Storm,1171,1,2017,04,04,2017,04,06,2017-04-04,2017-04-06
241,Missouri and Arkansas Flooding and Central Severe Weather ,Flooding,1991,20,2017,04,25,2017,05,07,2017-04-25,2017-05-07
242,Colorado Hail Storm and Central Severe Weather ,Severe Storm,3986,0,2017,05,08,2017,05,11,2017-05-08,2017-05-11
243,North Central Severe Weather and Tornadoes ,Severe Storm,1120,1,2017,05,15,2017,05,18,2017-05-15,2017-05-18
244,Minnesota Hail Storm and Upper Midwest Severe Weather ,Severe Storm,2796,0,2017,06,09,2017,06,11,2017-06-09,2017-06-11
245,Midwest Severe Weather ,Severe Storm,1796,0,2017,06,12,2017,06,16,2017-06-12,2017-06-16
246,Midwest Severe Weather ,Severe Storm,1696,0,2017,06,27,2017,06,29,2017-06-27,2017-06-29
247,Hurricane Harvey ,Tropical Cyclone,148750,89,2017,08,25,2017,08,31,2017-08-25,2017-08-31
248,Hurricane Irma ,Tropical Cyclone,59500,97,2017,09,06,2017,09,12,2017-09-06,2017-09-12
249,Hurricane Maria ,Tropical Cyclone,107100,2981,2017,09,19,2017,09,21,2017-09-19,2017-09-21
250,"Western Wildfires, California Firestorm ",Wildfire,21426,54,2017,06,01,2017,12,31,2017-06-01,2017-12-31
251,"North Dakota, South Dakota and Montana Drought ",Drought,3000,0,2017,03,01,2017,12,31,2017-03-01,2017-12-31
252,Central and Eastern Winter Storm ,Winter Storm,1231,22,2018,01,03,2018,01,05,2018-01-03,2018-01-05
253,Northeast Winter Storm ,Winter Storm,2567,9,2018,03,01,2018,03,03,2018-03-01,2018-03-03
254,Southeastern Tornadoes and Severe Weather ,Severe Storm,1699,0,2018,03,18,2018,03,21,2018-03-18,2018-03-21
255,Southern and Eastern Tornadoes and Severe Weather ,Severe Storm,1542,3,2018,04,13,2018,04,16,2018-04-13,2018-04-16
256,Central and Northeastern Severe Weather ,Severe Storm,1627,0,2018,05,01,2018,05,04,2018-05-01,2018-05-04
257,Central and Eastern Severe Weather ,Severe Storm,1603,5,2018,05,13,2018,05,15,2018-05-13,2018-05-15
258,Texas Hail Storm ,Severe Storm,1508,0,2018,06,06,2018,06,06,2018-06-06,2018-06-06
259,Colorado Hail Storm ,Severe Storm,1108,0,2018,06,13,2018,06,13,2018-06-13,2018-06-13
260,Colorado Hail Storm ,Severe Storm,2579,0,2018,06,18,2018,06,19,2018-06-18,2018-06-19
261,Central and Eastern Tornadoes and Severe Weather ,Severe Storm,1839,0,2018,07,19,2018,07,22,2018-07-19,2018-07-22
262,Rockies and Plains Hail Storms ,Severe Storm,1189,0,2018,08,06,2018,08,07,2018-08-06,2018-08-07
263,Hurricane Florence ,Tropical Cyclone,27840,53,2018,09,13,2018,09,16,2018-09-13,2018-09-16
264,Hurricane Michael ,Tropical Cyclone,28971,49,2018,10,10,2018,10,11,2018-10-10,2018-10-11
265,Southwest/Southern Plains Drought ,Drought,3528,0,2018,06,01,2018,12,30,2018-06-01,2018-12-30
266,"Western Wildfires, California Firestorm ",Wildfire,27840,106,2018,06,01,2018,12,31,2018-06-01,2018-12-31
267,"Southeast, Ohio Valley and Northeast Severe Weather ",Severe Storm,1436,2,2019,02,23,2019,02,25,2019-02-23,2019-02-25
268,Texas Hail Storm ,Severe Storm,1765,0,2019,03,22,2019,03,24,2019-03-22,2019-03-24
269,Missouri River and North Central Flooding ,Flooding,12443,3,2019,03,14,2019,03,31,2019-03-14,2019-03-31
270,Southern and Eastern Tornadoes and Severe Weather ,Severe Storm,1427,7,2019,04,13,2019,04,14,2019-04-13,2019-04-14
271,South and Southeast Severe Weather ,Severe Storm,1726,0,2019,05,07,2019,05,13,2019-05-07,2019-05-13
272,Central Severe Weather ,Severe Storm,1109,0,2019,05,16,2019,05,18,2019-05-16,2019-05-18
273,"Rockies, Central and Northeast Tornadoes and Severe Weather ",Severe Storm,5128,3,2019,05,26,2019,05,29,2019-05-26,2019-05-29
274,Arkansas River Flooding ,Flooding,3448,5,2019,05,20,2019,06,14,2019-05-20,2019-06-14
275,Colorado Hail Storms ,Severe Storm,1149,0,2019,07,04,2019,07,05,2019-07-04,2019-07-05
276,"Mississippi River, Midwest and Southern Flooding ",Flooding,7095,4,2019,03,15,2019,07,31,2019-03-15,2019-07-31
277,Hurricane Dorian ,Tropical Cyclone,1835,10,2019,08,28,2019,09,06,2019-08-28,2019-09-06
278,Tropical Storm Imelda ,Tropical Cyclone,5700,5,2019,09,17,2019,09,21,2019-09-17,2019-09-21
279,Texas Tornadoes and Central Severe Weather ,Severe Storm,1958,2,2019,10,20,2019,10,20,2019-10-20,2019-10-20
280,California and Alaska Wildfires ,Wildfire,5130,3,2019,06,01,2019,11,30,2019-06-01,2019-11-30
281,Southeast Tornadoes and Northern Storms and Flooding ,Severe Storm,1299,10,2020,01,10,2020,01,12,2020-01-10,2020-01-12
282,"South, East and Northeast Severe Weather ",Severe Storm,1420,3,2020,02,05,2020,02,07,2020-02-05,2020-02-07
283,Tennessee Tornadoes and Southeast Severe Weather ,Severe Storm,2640,25,2020,03,02,2020,03,04,2020-03-02,2020-03-04
284,Midwest and Ohio Valley Severe Weather ,Severe Storm,2891,0,2020,03,27,2020,03,28,2020-03-27,2020-03-28
285,North Central and Ohio Valley Hail Storms and Severe Weather ,Severe Storm,3284,0,2020,04,07,2020,04,08,2020-04-07,2020-04-08
286,Southeast and Eastern Tornado Outbreak ,Severe Storm,3926,35,2020,04,12,2020,04,13,2020-04-12,2020-04-13
287,Southern Severe Weather ,Severe Storm,1539,3,2020,04,21,2020,04,23,2020-04-21,2020-04-23
288,"Central, Southern and Eastern Severe Weather ",Severe Storm,1171,1,2020,04,27,2020,04,30,2020-04-27,2020-04-30
289,Central and Eastern Severe Weather ,Severe Storm,2409,2,2020,05,03,2020,05,05,2020-05-03,2020-05-05
290,"South, Central and Eastern Severe Weather ",Severe Storm,1806,2,2020,05,20,2020,05,23,2020-05-20,2020-05-23
291,South Texas Hail Storms ,Severe Storm,1596,0,2020,05,27,2020,05,27,2020-05-27,2020-05-27
292,Central Severe Weather ,Severe Storm,1352,0,2020,07,10,2020,07,11,2020-07-10,2020-07-11
293,Hurricane Hanna ,Tropical Cyclone,1204,0,2020,07,25,2020,07,26,2020-07-25,2020-07-26
294,Hurricane Isaias ,Tropical Cyclone,5328,16,2020,08,03,2020,08,04,2020-08-03,2020-08-04
295,Central Severe Weather - Derecho ,Severe Storm,12461,4,2020,08,10,2020,08,10,2020-08-10,2020-08-10
296,Hurricane Laura ,Tropical Cyclone,26001,42,2020,08,27,2020,08,28,2020-08-27,2020-08-28
297,Hurricane Sally ,Tropical Cyclone,8147,5,2020,09,15,2020,09,17,2020-09-15,2020-09-17
298,Hurricane Delta ,Tropical Cyclone,3211,5,2020,10,09,2020,10,11,2020-10-09,2020-10-11
299,Hurricane Zeta ,Tropical Cyclone,4874,6,2020,10,28,2020,10,29,2020-10-28,2020-10-29
300,Tropical Storm Eta ,Tropical Cyclone,1635,12,2020,11,08,2020,11,12,2020-11-08,2020-11-12
301,"Western Wildfires - California, Oregon, Washington Firestorms ",Wildfire,18424,46,2020,08,01,2020,12,30,2020-08-01,2020-12-30
302,Western/Central Drought and Heat Wave ,Drought,5034,45,2020,06,01,2020,12,30,2020-06-01,2020-12-30
303,California Flooding and Severe Weather ,Flooding,1226,2,2021,01,24,2021,01,29,2021-01-24,2021-01-29
304,"Northwest, Central, Eastern Winter Storm and Cold Wave ",Winter Storm,25182,262,2021,02,10,2021,02,19,2021-02-10,2021-02-19
305,Southeast Tornadoes and Severe Weather ,Severe Storm,1845,6,2021,03,24,2021,03,25,2021-03-24,2021-03-25
306,Eastern Severe Weather ,Severe Storm,1481,8,2021,03,27,2021,03,28,2021-03-27,2021-03-28
307,Texas Hail Storms ,Severe Storm,1622,0,2021,04,12,2021,04,15,2021-04-12,2021-04-15
308,Texas and Oklahoma Severe Weather ,Severe Storm,3464,0,2021,04,27,2021,04,28,2021-04-27,2021-04-28
309,Southern Tornadoes and Southeast Severe Weather ,Severe Storm,1378,4,2021,05,02,2021,05,04,2021-05-02,2021-05-04
310,Louisiana Flooding ,Flooding,1451,5,2021,05,17,2021,05,18,2021-05-17,2021-05-18
311,Ohio Valley Hail Storms ,Severe Storm,1844,0,2021,06,17,2021,06,18,2021-06-17,2021-06-18
312,Central Severe Storms ,Severe Storm,1353,0,2021,06,24,2021,06,26,2021-06-24,2021-06-26
313,Tropical Storm Elsa ,Tropical Cyclone,1298,1,2021,07,07,2021,07,09,2021-07-07,2021-07-09
314,Central Severe Storms ,Severe Storm,1156,0,2021,07,08,2021,07,11,2021-07-08,2021-07-11
315,North Central Severe Weather ,Severe Storm,1374,2,2021,08,10,2021,08,13,2021-08-10,2021-08-13
316,Tropical Storm Fred ,Tropical Cyclone,1367,7,2021,08,16,2021,08,18,2021-08-16,2021-08-18
317,Hurricane Ida ,Tropical Cyclone,78722,96,2021,08,29,2021,09,01,2021-08-29,2021-09-01
318,Hurricane Nicholas ,Tropical Cyclone,1087,0,2021,09,14,2021,09,18,2021-09-14,2021-09-18
319,"Southeast, Central Tornado Outbreak ",Severe Storm,4111,93,2021,12,10,2021,12,10,2021-12-10,2021-12-10
320,Midwest Derecho and Tornado Outbreak ,Severe Storm,1871,1,2021,12,15,2021,12,15,2021-12-15,2021-12-15
321,Western Drought and Heat Wave ,Drought,9443,229,2021,01,01,2021,12,31,2021-01-01,2021-12-31
322,Western Wildfires ,Wildfire,11232,8,2021,06,01,2021,12,31,2021-06-01,2021-12-31
323,Southern Tornado Outbreak ,Severe Storm,1281,2,2022,03,30,2022,03,30,2022-03-30,2022-03-30
324,Southeastern Tornado Outbreak ,Severe Storm,1409,3,2022,04,04,2022,04,06,2022-04-04,2022-04-06
325,Southern Severe Weather ,Severe Storm,2678,1,2022,04,11,2022,04,13,2022-04-11,2022-04-13
326,Southern and Central Severe Weather ,Severe Storm,1139,1,2022,05,01,2022,05,03,2022-05-01,2022-05-03
327,North Central Hail Storms ,Severe Storm,1929,0,2022,05,09,2022,05,09,2022-05-09,2022-05-09
328,North Central Severe Weather ,Severe Storm,2589,1,2022,05,11,2022,05,12,2022-05-11,2022-05-12
329,North Central Hail Storms ,Severe Storm,1839,0,2022,05,19,2022,05,19,2022-05-19,2022-05-19
330,Central Severe Weather ,Severe Storm,1837,0,2022,06,07,2022,06,08,2022-06-07,2022-06-08
331,Central Derecho ,Severe Storm,2936,1,2022,06,13,2022,06,13,2022-06-13,2022-06-13
332,North Central and Eastern Severe Weather ,Severe Storm,1294,1,2022,07,22,2022,07,24,2022-07-22,2022-07-24
333,Kentucky and Missouri Flooding ,Flooding,1195,42,2022,07,26,2022,07,28,2022-07-26,2022-07-28
334,Western/Southern Plains Drought and Heat Wave ,Drought,9327,117,2022,01,01,2022,09,30,2022-01-01,2022-09-30
